monthly_rent,location,property_type,rooms,parking,bathroom,size,furnished,region,age,missing_parking,f_minimart,f_gymnasium,f_security,f_playground,f_swimming_pool,f_parking,f_lift,f_barbeque_area,f_multipurpose_hall,f_jogging_track,f_squash_court,f_sauna,f_club_house,f_tennis_court,missing_facilities,a_air_cond,a_cooking_allowed,a_washing_machine,a_near_ktm_lrt,a_internet,missing_amenities
2000,1900.0,1600.0,3,1,3,1267,2,1,14,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,0
1750,1700.0,1600.0,3,2,2,1121,2,1,9,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0
2000,1500.0,1250.0,2,1,2,872,2,1,3,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,0
1100,1700.0,1600.0,3,1,2,904,1,1,12,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0
1900,1500.0,1650.0,2,1,2,1132,1,1,3,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0
1700,1500.0,1600.0,2,1,1,700,1,1,3,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0
2100,1700.0,1650.0,3,2,2,1000,1,1,2,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0
1550,1550.0,1600.0,4,1,2,1142,1,1,9,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0
1400,1700.0,1600.0,4,2,2,1300,1,1,18,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0
1300,1500.0,1650.0,3,1,2,819,1,1,4,0,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0
2500,1500.0,1650.0,3,1,2,850,2,1,3,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0
2300,1700.0,1650.0,3,2,2,1000,1,1,2,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0
1350,1550.0,1650.0,2,1,1,650,1,1,3,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0
1100,1500.0,1250.0,3,2,2,800,1,1,4,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0
1700,1500.0,1600.0,3,2,2,1300,1,1,9,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0
1650,1500.0,1650.0,3,2,2,850,1,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1200,1500.0,1650.0,2,1,1,646,0,1,3,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1200,1600.0,1600.0,2,1,2,1000,1,1,36,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,1,1,0,0
2599,1700.0,1600.0,4,3,5,1899,2,1,10,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0
1200,1900.0,1650.0,1,1,1,521,1,1,9,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0
2500,2500.0,1650.0,1,1,1,468,2,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
2200,1500.0,1600.0,3,2,2,1100,2,1,5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
1500,1550.0,1600.0,4,1,2,1142,1,1,9,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
1900,1780.0,1600.0,3,2,2,1193,1,1,7,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0
2100,1800.0,1650.0,3,2,2,1200,2,1,6,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0
1450,1700.0,1600.0,3,1,2,1100,1,1,3,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
1600,1500.0,1600.0,3,1,2,1070,1,1,12,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0
2200,1500.0,1650.0,3,1,2,850,2,1,3,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0
2000,2000.0,1650.0,1,1,1,560,2,1,12,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1
2200,1500.0,1250.0,2,1,2,866,2,1,3,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0
