monthly_rent,location,property_type,rooms,parking,bathroom,size,furnished,region,age,missing_parking,f_minimart,f_gymnasium,f_security,f_playground,f_swimming_pool,f_parking,f_lift,f_barbeque_area,f_multipurpose_hall,f_jogging_track,f_squash_court,f_sauna,f_club_house,f_tennis_court,missing_facilities,a_air_cond,a_cooking_allowed,a_washing_machine,a_near_ktm_lrt,a_internet,missing_amenities
2200,1550.0,1650.0,2,1,2,737,2,1,3,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0
1700,1800.0,1650.0,2,1,2,831,2,1,6,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1
2000,1800.0,1650.0,3,1,2,891,2,1,6,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1
1799,1800.0,1600.0,2,1,2,730,2,1,5,0,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,1,1
1900,2050.0,1650.0,2,1,2,742,2,1,17,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1
2000,1900.0,1650.0,3,1,2,911,2,1,5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2200,1700.0,1600.0,3,2,2,839,2,1,5,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1
3700,1700.0,1600.0,3,1,1,1118,2,1,2,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,0
1100,1800.0,1250.0,3,1,2,1000,0,1,6,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2000,1900.0,1650.0,4,2,2,991,2,1,5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1800,1900.0,1650.0,4,1,2,970,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1780,1780.0,1650.0,2,1,2,900,1,1,6,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0
1700,1700.0,1650.0,3,1,2,1050,1,1,2,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0
1000,1500.0,1250.0,3,1,2,1200,2,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2600,1800.0,1650.0,2,1,2,868,1,1,5,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1
1600,1700.0,1600.0,4,1,2,1313,1,1,16,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2600,2800.0,1650.0,2,1,2,823,2,1,7,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1
1400,1600.0,1600.0,3,1,2,1100,2,1,36,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0
2900,1800.0,1650.0,3,1,2,1096,2,1,8,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1
2300,2000.0,1650.0,3,1,2,1033,1,1,3,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,0,0,0
1700,1800.0,1600.0,3,1,2,1200,1,1,20,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0
1600,1550.0,1600.0,3,1,2,960,1,1,26,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1500,1700.0,1250.0,3,1,2,928,1,1,5,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0
2500,2900.0,1600.0,2,1,2,1163,2,1,18,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
1700,1800.0,1600.0,3,1,2,1100,2,1,20,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0
2400,1500.0,1650.0,3,1,2,850,2,1,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2500,3700.0,1600.0,1,1,1,660,2,1,18,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1
2100,1500.0,1600.0,2,1,2,826,1,1,6,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1
2300,1500.0,1650.0,3,1,2,850,2,1,3,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0
1400,1550.0,1600.0,3,1,2,926,1,1,23,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1100,1700.0,1600.0,3,1,2,904,1,1,12,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0
2450,1780.0,1650.0,3,2,2,1088,2,1,6,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0
1780,1780.0,1600.0,2,1,2,900,2,1,15,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0
1600,1500.0,1600.0,3,1,2,850,1,1,3,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0
1800,1700.0,1650.0,3,2,2,921,1,1,2,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0
2350,1500.0,1600.0,3,2,2,1000,2,1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
2000,2000.0,1600.0,3,2,3,1155,2,1,7,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1
1000,1500.0,1250.0,3,1,2,1000,2,1,9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1800,1500.0,1650.0,4,2,2,932,2,1,4,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0
1500,1500.0,1650.0,3,1,2,850,1,1,3,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0
2300,1500.0,1250.0,3,2,2,1216,2,1,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
1799,1500.0,1600.0,2,1,2,1100,2,1,15,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1
2200,1780.0,1600.0,3,2,2,978,2,1,7,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0
1600,1700.0,1600.0,4,1,2,1272,1,1,16,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
1200,1800.0,1600.0,1,1,1,350,2,1,11,1,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,1,1,1,0,0
1300,1500.0,1250.0,3,1,2,850,1,1,3,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2800,2200.0,1600.0,3,2,3,1610,2,1,8,0,1,0,1,1,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,1,1
4000,2200.0,1600.0,4,3,5,3150,2,1,8,0,1,0,1,1,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,1,1
1100,1600.0,1250.0,3,1,2,850,1,1,4,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1800,1800.0,1650.0,2,1,2,800,2,1,6,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0
2000,3300.0,1600.0,2,1,2,913,2,1,16,0,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1
2200,2000.0,1650.0,2,1,2,1042,1,1,8,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0
1750,1900.0,1600.0,3,1,2,770,2,1,7,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
1400,1550.0,1600.0,3,1,2,819,0,1,3,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
2200,3300.0,1600.0,2,1,2,913,2,1,16,0,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1
1300,1500.0,1650.0,3,2,2,932,1,1,4,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0
1200,1550.0,1600.0,3,1,2,1000,1,1,19,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
1700,2000.0,1650.0,1,1,1,440,2,1,9,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1
950,1700.0,1600.0,3,1,2,850,1,1,29,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1600,1800.0,1600.0,3,1,2,1271,1,1,8,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,0,1,0,0
1900,1700.0,1600.0,3,1,2,1100,2,1,17,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0
1500,1500.0,1600.0,3,1,2,800,1,1,4,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1
1100,1500.0,1600.0,3,1,2,1200,1,1,28,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,0
2200,2500.0,1600.0,4,2,2,1200,1,1,5,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0
2500,2000.0,1650.0,1,1,1,751,2,1,6,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1
1800,1700.0,1600.0,3,2,2,980,1,1,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
7000,2900.0,1600.0,4,2,3,1711,2,1,8,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0
2400,2000.0,1650.0,2,1,2,845,2,1,5,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,0
2500,1700.0,1650.0,3,2,2,876,2,1,8,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0
3200,2000.0,1650.0,2,1,2,1050,0,1,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
1700,1800.0,1600.0,3,1,2,1100,1,1,29,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1600,1700.0,1600.0,4,1,2,1272,2,1,18,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0
850,1800.0,700.0,3,1,2,751,0,1,11,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1300,1900.0,1650.0,3,1,2,940,0,1,5,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0
2200,1800.0,1250.0,4,2,3,1500,1,1,7,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0
1548,1600.0,1250.0,3,1,2,810,1,1,4,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
7900,1600.0,1600.0,4,2,4,2573,2,1,13,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,0,0,0
1500,1700.0,1600.0,2,1,2,885,2,1,7,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0
1300,1850.0,1250.0,3,1,2,800,0,1,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
1650,2000.0,1650.0,1,1,1,500,2,1,17,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
2400,1800.0,1600.0,3,2,2,1023,1,1,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
1550,1600.0,1250.0,3,1,2,810,1,1,4,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
1500,1500.0,1250.0,2,1,2,1000,1,1,18,0,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,0
1700,1700.0,1650.0,3,1,2,900,2,1,7,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2100,1700.0,1600.0,3,1,2,839,2,1,5,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1
1600,1800.0,1600.0,3,1,2,1243,0,1,25,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1
1800,1700.0,1600.0,3,1,2,980,1,1,13,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0
1690,3000.0,1600.0,1,1,1,510,2,1,18,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0
1300,1700.0,1600.0,3,1,2,1141,1,1,29,0,0,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0
1800,1500.0,1650.0,1,1,1,692,2,1,6,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0
2500,1500.0,1650.0,2,1,2,812,2,1,6,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0
1650,1800.0,1600.0,3,1,2,1050,1,1,16,0,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0
1600,1600.0,1250.0,3,1,2,810,0,1,4,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1
1800,1550.0,1600.0,2,1,2,950,2,1,6,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1
1600,1600.0,1650.0,1,1,1,500,2,1,17,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0
2000,1800.0,1650.0,3,2,2,883,1,1,5,0,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0
1400,1500.0,1250.0,3,1,2,850,1,1,4,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0
2900,1800.0,1600.0,2,1,2,1112,2,1,8,0,0,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,1,0,0,0
2300,1700.0,1650.0,3,1,2,935,2,1,27,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
1600,1700.0,1600.0,3,1,2,1141,2,1,29,0,0,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0
2200,1800.0,1600.0,3,2,2,1232,2,1,10,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1,1,1,1,0,0
3000,1550.0,1600.0,4,2,2,1000,2,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,0
1800,1800.0,1650.0,2,1,1,689,2,1,7,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1800,1550.0,1650.0,2,1,2,719,2,1,11,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0
2300,1850.0,1600.0,4,2,2,1184,2,1,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0
1799,1850.0,1600.0,3,2,2,926,1,1,4,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0
3900,1600.0,1600.0,3,1,3,1360,2,1,5,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0
1850,1500.0,1650.0,3,1,2,850,1,1,3,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2500,2200.0,1250.0,2,1,1,850,2,1,11,1,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1
2100,1800.0,1650.0,2,1,2,950,2,1,9,1,0,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,1,1,1,1
1100,1550.0,1250.0,3,1,2,750,1,1,22,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0
1300,1900.0,1600.0,3,1,2,1152,1,1,19,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0
2600,1900.0,1600.0,4,1,2,1000,2,1,4,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0
1500,1500.0,1650.0,3,1,2,850,1,1,4,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,0
1200,1600.0,1250.0,1,1,1,420,2,1,21,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0
3300,1800.0,1600.0,4,2,3,1800,2,1,11,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,0,0,0
1699,1800.0,1650.0,2,1,2,800,2,1,5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0
2300,2800.0,1650.0,2,1,1,648,2,1,7,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0
2000,2000.0,1650.0,1,1,1,500,2,1,17,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0
2800,1800.0,1650.0,3,1,2,1092,2,1,6,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,0
2500,1500.0,1650.0,3,2,2,850,2,1,3,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0
5800,3300.0,1600.0,3,1,2,1238,2,1,15,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0
2600,1700.0,1600.0,3,2,3,1118,1,1,2,0,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0
2800,2000.0,1650.0,2,1,2,900,2,1,6,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,1,0
3300,3300.0,1600.0,4,2,3,3174,2,1,14,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,1,0
2500,1550.0,1650.0,2,1,1,708,2,1,4,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
1400,2500.0,1600.0,3,1,2,1144,1,1,17,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
2400,1550.0,1650.0,2,1,1,807,1,1,4,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
1300,1500.0,1600.0,3,1,2,970,1,1,17,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0
1500,1550.0,1650.0,1,2,1,618,2,1,9,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,0
3700,2800.0,1650.0,3,2,2,969,2,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0
1800,1700.0,1600.0,2,1,2,1200,2,1,31,0,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0
1800,1550.0,1650.0,3,2,2,1000,2,1,7,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
2300,1725.0,1600.0,3,2,2,1440,0,1,8,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1
1400,1550.0,1650.0,3,2,2,1000,1,1,7,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4200,3300.0,1650.0,3,1,2,1238,2,1,15,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1
1500,1550.0,1600.0,3,1,2,850,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0
4300,2000.0,1600.0,3,1,3,1453,2,1,12,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0
1500,1550.0,1650.0,1,2,1,618,2,1,9,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,0
2700,1500.0,1600.0,1,1,1,960,1,1,11,0,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,0
1500,1800.0,1600.0,3,2,2,1100,2,1,20,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,0,0,0
1900,1850.0,1600.0,3,2,2,1005,2,1,5,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0
1400,1550.0,1650.0,2,1,2,650,1,1,3,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0
1000,1800.0,1250.0,3,1,2,1000,0,1,6,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1650,1700.0,1600.0,3,1,2,1044,2,1,7,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0
2200,1800.0,1650.0,2,1,2,807,1,1,4,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0
1400,1500.0,1650.0,3,2,2,850,2,1,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
1100,1800.0,1600.0,3,1,2,932,1,1,23,0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0
1700,1550.0,1600.0,3,1,2,850,2,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,0
1850,1500.0,1650.0,3,1,2,850,1,1,3,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1500,1500.0,1600.0,3,1,2,800,1,1,4,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
1200,1500.0,1650.0,4,2,3,1027,0,1,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
2500,2000.0,1650.0,1,1,1,751,2,1,6,0,0,1,1,1,0,1,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0
1800,1500.0,1600.0,3,1,2,1100,2,1,10,0,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0
1300,1700.0,1600.0,3,1,2,938,0,1,24,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0
1200,1500.0,1650.0,3,2,2,936,1,1,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0
2600,1800.0,1650.0,2,2,2,868,2,1,5,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0
2200,1550.0,1650.0,3,1,2,1050,2,1,7,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
2400,1780.0,1650.0,3,2,2,1087,2,1,6,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0
1250,1700.0,1600.0,3,1,2,1080,1,1,19,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0
800,1500.0,1250.0,3,3,2,758,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
2300,1700.0,1600.0,3,1,2,1297,2,1,13,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0
1650,1550.0,1600.0,4,1,2,1142,1,1,9,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0
1300,1550.0,1650.0,2,1,2,650,0,1,3,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0
1700,1800.0,1600.0,4,2,2,1341,1,1,11,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0
1900,1800.0,1600.0,3,1,2,1100,2,1,11,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0
1800,1600.0,1250.0,3,1,2,810,1,1,4,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0
1200,1800.0,1600.0,1,1,1,350,2,1,11,1,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
1600,1780.0,1650.0,2,1,2,900,1,1,6,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0
2100,1850.0,1600.0,3,2,2,1050,2,1,5,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0
2200,1700.0,1600.0,3,1,2,1075,2,1,3,1,0,1,1,1,1,1,0,0,1,1,0,1,0,0,0,1,1,1,1,1,1
2000,2000.0,1650.0,2,2,1,633,2,1,6,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
1800,1600.0,1650.0,1,1,1,484,2,1,6,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2800,3700.0,1650.0,1,1,2,800,2,1,11,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0
1700,1500.0,1600.0,3,1,2,1100,2,1,10,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0
1800,1700.0,1600.0,3,1,2,1200,0,1,3,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1
2600,1700.0,1600.0,4,2,3,1500,2,1,10,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0
3500,2500.0,1600.0,4,3,3,1400,2,1,5,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1
2300,1500.0,1250.0,3,2,2,1216,2,1,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0
1700,1550.0,1600.0,3,1,2,1200,1,1,3,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1
1800,1700.0,1650.0,3,2,2,1000,1,1,2,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0
1600,1800.0,1250.0,3,1,2,930,2,1,18,0,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1
2000,1900.0,1250.0,3,1,2,850,2,1,7,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1
1600,1550.0,1650.0,3,1,2,819,1,1,3,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,0,0
3500,3700.0,1650.0,3,1,2,818,2,1,5,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0
2200,1700.0,1600.0,4,3,2,1100,1,1,2,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0
2300,1700.0,1650.0,4,3,2,1100,1,1,2,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0
1150,1800.0,1250.0,3,1,2,820,1,1,23,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1400,1800.0,1250.0,3,1,2,850,0,1,3,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1
2800,1700.0,1650.0,4,3,2,1100,1,1,2,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,0,0
1500,1780.0,1600.0,3,1,2,1323,1,1,25,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1
4000,1600.0,1600.0,3,1,3,1360,2,1,5,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1
5000,1850.0,1600.0,4,1,4,1800,2,1,24,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1
